symbol,trades,total_pnl,avg_pnl,avg_r,win_rate
META,58,4264.73,73.52982758620689,0.7352758620689656,55.172413793103445
AMZN,55,2846.07,51.74672727272728,0.5175090909090909,47.27272727272727
NVDA,50,2543.17,50.8634,0.5087,50.0
AAPL,47,2412.35,51.32659574468085,0.5133617021276595,48.93617021276596
GOOGL,47,1784.16,37.960851063829786,0.3795531914893617,42.5531914893617
AVGO,62,1660.24,26.77806451612903,0.26779032258064517,43.54838709677419
