window,symbol,signal_time,entry_time,exit_time,bias,score,entry_price,stop_price,target_1,target_2,risk_per_share,shares,atr_14,hit_t1,exit_reason,pnl_dollars,r_multiple,reasons
Window_4,META,2026-02-11 10:00:00-05:00,2026-02-11 10:15:00-05:00,2026-02-11 10:45:00-05:00,SHORT,95,664.22,669.23,654.19,649.18,5.0139,19,3.3426,False,stop,-95.26,-0.953,"below 15m 20-bar average, negative 15m momentum, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_4,AVGO,2026-02-11 10:00:00-05:00,2026-02-11 10:15:00-05:00,2026-02-11 12:00:00-05:00,SHORT,95,336.86,340.16,330.24,326.94,3.3056,30,2.2037,False,stop,-99.17,-0.992,"below 15m 20-bar average, negative 15m momentum, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_4,GOOGL,2026-02-11 10:00:00-05:00,2026-02-11 10:15:00-05:00,2026-02-12 11:30:00-05:00,SHORT,95,314.31,316.2,310.54,308.65,1.8868,53,1.2579,True,stop_after_t1,98.11,0.981,"below 15m 20-bar average, negative 15m momentum, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_4,AMZN,2026-02-12 09:45:00-05:00,2026-02-12 10:00:00-05:00,2026-02-12 11:00:00-05:00,SHORT,75,201.77,202.93,199.45,198.29,1.1604,86,0.7736,True,target_2,249.49,2.495,"below 15m 20-bar average, negative 15m momentum, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_4,META,2026-02-12 10:30:00-05:00,2026-02-12 10:45:00-05:00,2026-02-12 12:30:00-05:00,SHORT,75,656.94,662.5,645.82,640.26,5.5585,17,3.7057,True,stop_after_t1,88.94,0.889,"below 15m 20-bar average, negative 15m momentum, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_4,NVDA,2026-02-12 10:30:00-05:00,2026-02-12 10:45:00-05:00,2026-02-12 15:45:00-05:00,SHORT,95,189.78,191.36,186.62,185.04,1.5803,63,1.0535,True,end_of_window,189.82,1.898,"below 15m 20-bar average, negative 15m momentum, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_4,AMZN,2026-02-12 10:30:00-05:00,2026-02-12 10:45:00-05:00,2026-02-12 15:45:00-05:00,SHORT,75,199.71,201.23,196.68,195.16,1.517,65,1.0113,False,end_of_window,16.89,0.169,"below 15m 20-bar average, negative 15m momentum, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_4,AVGO,2026-02-12 10:30:00-05:00,2026-02-12 10:45:00-05:00,2026-02-12 15:45:00-05:00,SHORT,75,337.07,340.52,330.16,326.71,3.454,28,2.3026,True,end_of_window,180.99,1.81,"below 15m 20-bar average, negative 15m momentum, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_4,META,2026-02-12 11:00:00-05:00,2026-02-12 11:15:00-05:00,2026-02-12 12:30:00-05:00,SHORT,95,650.01,655.86,638.32,632.47,5.8457,17,3.8971,False,stop,-99.38,-0.994,"below 15m 20-bar average, negative 15m momentum, strong relative volume, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_4,NVDA,2026-02-12 11:00:00-05:00,2026-02-12 11:15:00-05:00,2026-02-12 15:45:00-05:00,SHORT,60,189.06,190.76,185.67,183.97,1.6966,58,1.131,False,end_of_window,124.7,1.247,"below 15m 20-bar average, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_4,AAPL,2026-02-12 11:00:00-05:00,2026-02-12 11:15:00-05:00,2026-02-12 13:15:00-05:00,SHORT,60,267.93,270.46,262.86,260.33,2.5336,39,1.6891,True,target_2,248.29,2.483,"below 15m 20-bar average, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
Window_4,AVGO,2026-02-12 11:00:00-05:00,2026-02-12 11:15:00-05:00,2026-02-12 15:45:00-05:00,SHORT,75,334.8,338.33,327.73,324.2,3.5334,28,2.3556,False,end_of_window,105.0,1.05,"below 15m 20-bar average, negative 15m momentum, confirmed breakdown below prior 20-bar low, traded through prior support, 1h trend bearish"
